Name,AAA_C3,AAA_C6,Agrifood (Coles) C6,ALS_C6,Coles,FreshTest_C6,NMI (2017),PEST06,PEST08,PEST08_C6
Thiobencarb,,,,,,,,,X,
Thiocyclam hydrogen oxalate,,,,,,,,,X,
Thiodicarb,,,,,X,,,,,
Thiometon,,,,,,,,,X,
Tiadinil,,,,,,,,,X,
Tolclofos-methyl,X,X,X,X,X,X,X,,X,X
Tolylfluanid,,,,,,,X,,X,
Tralkoxydim,,,,,,,,,X,
Transfluthrin,,,,,,,,,X,
Tri-allate,,,,,,,,,X,
Triadimefon,X,X,X,X,X,X,X,X,X,X
Triadimenol,X,X,X,X,X,X,X,X,X,X
Triasulfuron,,,,,,,,,X,
Triazophos,,,,,,,X,,X,
Tribenuron-methyl,,,,,,,,,X,
Tribufos,,,,,,,,,X,
Trichlorfon,X,X,X,X,X,X,X,X,X,X
Tricyclazole,,,,,,,,,X,
Trifloxystrobin,,X,,X,X,X,X,X,X,X
Trifloxysulfuron-sodium,,,,,,,,,X,
Triflumizole,,,,,,,,,X,
Triflumuron,,,,,,,,,X,
Trifluralin,,,,,,,X,,X,
Triflusulfuron-methyl,,,,,,,,,X,
Triforine,,,,,,,,,X,
Triticonazole,,,,,,,,,X,
Uniconazole-P,,,,,,,,,X,
Vamidothion,,,X,X,X,,X,,X,X
Vinclozolin,X,X,X,X,X,X,X,X,X,X
XMC,,,,,,,,,X,
Zoxamide,,,,,,,,,X,
