"","Name","CAS","PEST08","PEST08_C6","Proposed_C6","PEST06","PEST00","PEST07"
"547","Triasulfuron","","X","","","","",""
"548","Triazophos","","X","","","","",""
"549","Tribenuron-methyl","","X","","","","",""
"550","Tribufos","","X","","","","",""
"551","Trichlorfon","","X","X","X","X","",""
"552","Tricyclazole","","X","","","","",""
"553","Trifloxystrobin","141517-21-7 ","X","X","X","X","",""
"554","Trifloxystrobin metabolite","252913-85-2","","","","","",""
"555","Trifloxysulfuron-sodium","","X","","","","",""
"556","Triflumizole","","X","","","","",""
"557","Triflumuron","","X","","","","",""
"558","Trifluralin","","X","","","","",""
"559","Triflusulfuron-methyl","","X","","","","",""
"560","Triforine","","X","","","","",""
"561","Triticonazole","","X","","","","",""
"562","Uniconazole-P","","X","","","","",""
"563","Vamidothion","2275-23-2","X","X","X","","",""
"564","Vinclozolin","50471-44-8","X","X","X","X","",""
"565","XMC","","X","","","","",""
"566","Zoxamide","","X","","","","",""
